30/03/2018 08:15:16 a.m.||INFO|------------------------------------------------------------------------------------------------------------------------------------------------------
30/03/2018 08:15:16 a.m.||INFO|***    CONTROL MERMAS    ***
30/03/2018 08:15:16 a.m.||INFO|Puerto:PIEDRABUENA
30/03/2018 08:15:16 a.m.||INFO|Fecha :2018-03-29
30/03/2018 08:15:16 a.m.||INFO|Transporte: CAMIONES        
30/03/2018 08:15:16 a.m.||INFO|------------------------------------------------------------------------------------------------------------------------------------------------------
30/03/2018 08:15:17 a.m.||INFO|DTCONTABLE | IDCAMION   | CTAPORTE     | PRODUCTO | MERMA KG | MERMA KG CALC. | VISTEO CABECERA | VISTEO DETALLE                              | SOLUCION
30/03/2018 08:15:17 a.m.||INFO|           |            |              |          |          |                |                 | RUBRO                | EN TABLA | CALCULADO |
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 3020-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000325 | 000567786760 |       19 |        0 |              0 |              0% | 1711-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 3010-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 3020-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000326 | 000568376397 |       24 |        0 |              0 |              0% | 1711-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 3010-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 3020-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000328 | 000568437898 |       17 |        0 |              0 |              0% | 1711-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 3010-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 3020-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 5000-PROTEINA        |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000330 | 000568437902 |       17 |        0 |              0 |              0% | 1711-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 3010-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 3020-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 5000-PROTEINA        |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000331 | 000567889923 |       19 |        0 |              0 |              0% | 1711-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 3010-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 3020-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000332 | 000568364372 |       19 |        0 |              0 |              0% | 1711-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 3010-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 3020-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000334 | 000568437907 |       17 |        0 |              0 |              0% | 1711-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 3010-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 3020-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 5000-PROTEINA        |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000337 | 000568367932 |       19 |        0 |              0 |              0% | 1711-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 3010-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 3020-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000339 | 000568364399 |       19 |        0 |              0 |              0% | 1711-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 3010-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 3020-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000341 | 000568214601 |       24 |        0 |              0 |              0% | 1711-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 3010-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 3020-PORC. HUMEDAD   |       0% |        0% | OK!
